timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-04-30T01:06:15,codecarbon,3a8e578d-5992-4777-9051-f7bcb1fce171,15.846438884735107,2.9608306258474015e-06,1.868451736938558e-07,2.1021000000000005,0.0091999999999999,3.0,5.78256176129977e-06,3.288725241025288e-08,8.25186312198639e-06,1.4067312135696414e-05,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:06:32,codecarbon,548275ef-d79a-4351-97b6-fb1be2023aa5,15.746373176574709,1.991294988980318e-06,1.264605485117483e-07,0.4629,0.0577,3.0,1.2376728309790294e-06,2.026792782876227e-07,8.020563324292501e-06,9.460915433559154e-06,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:07:07,codecarbon,9976e57c-f9a6-40d7-9c1f-f6ed0f6c037b,30.896169900894165,9.863336111704038e-06,3.192413863382653e-07,0.3276,0.0147999999999999,3.0,3.0720148151556646e-05,1.0155371928215028e-07,1.6040359934171043e-05,4.686206180500984e-05,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:07:39,codecarbon,3513f1e1-32d9-4635-921e-03744edd5181,31.01334023475647,9.786829038471102e-06,3.155683639488487e-07,0.2154999999999999,0.0131,3.0,3.0508611779477856e-05,9.298777795500226e-08,1.5896966656049095e-05,4.649856621348195e-05,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:08:01,codecarbon,6028d748-333f-46d4-82f3-d72a5b1bbcc7,17.718658208847046,2.4705321166607432e-06,1.394311063253757e-07,0.5837000000000001,0.0174,3.0,1.9004160317182544e-06,7.102797524134317e-08,9.766392707824709e-06,1.1737836714784306e-05,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:08:23,codecarbon,aec5d3f5-cf74-49b5-9b28-83673e12c6ff,20.731219053268433,3.165708664744462e-06,1.52702484914671e-07,0.6466,0.0129,3.0,2.6558448700375024e-06,6.35616618792216e-08,1.2321309248606364e-05,1.504071578052309e-05,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:08:37,codecarbon,2149f315-9cc5-4039-a6eb-6c7f44408e15,9.796680927276611,7.928399360288268e-07,8.092944354463419e-08,0.4613,0.0131,3.0,4.987981818715733e-07,2.4869796382056343e-08,3.2432232300440473e-06,3.7668912082976768e-06,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:08:48,codecarbon,e8c501dd-8048-4468-b3c9-96a054d5d06d,9.203750848770142,6.473887859598561e-07,7.033966874998185e-08,0.3101,0.0147,3.0,2.858045272760921e-07,2.548165798187256e-08,2.7645466725031535e-06,3.075832857761118e-06,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:08:56,codecarbon,05b7480e-0345-4762-8f2e-0dac9a4257b1,8.06579303741455,4.2131555059653044e-07,5.223485758216045e-08,0.262,0.0339,3.0,1.569428212112851e-07,4.8026734570662175e-08,1.7967583735783896e-06,2.001727929360337e-06,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
2024-04-30T01:09:08,codecarbon,72f46760-9b19-429c-beab-7cea237c1bb8,10.797064065933228,1.692824196097865e-06,1.567856026194236e-07,2.977,0.0139,3.0,3.991182051036093e-06,3.0042746384938555e-08,4.0216149886449185e-06,8.042839786065949e-06,United States,USA,new york,,,macOS-14.4.1-arm64-arm-64bit,3.11.5,2.3.5,8,Apple M2,1,Apple M2,-78.8475,42.9732,8.0,machine,N,1.0
